FROM_ID,TO_ID,DURATION_H,DIST_KM
"1",de:11000:900193001,0.184163888888889,0.92083
"1",de:11000:900194010,0.143747222222222,0.71874
"1",de:11000:900194011,0.222177777777778,1.11091
"1",de:11000:900194514,0.0729166666666667,0.36459
"1",de:11000:900194517,0.152805555555556,0.76405
"1",de:11000:900193001:1:50,0.185105555555556,0.92554
"1",de:11000:900193001:2:51,0.185105555555556,0.92554
"1",de:11000:900193001::1,0.270666666666667,1.35335
"1",de:11000:900194537,0.242127777777778,1.21065
"1",de:11000:900194527::1,0.325930555555556,1.62968
"1",de:11000:900194010::1,0.100186111111111,0.50095
"1",de:11000:900194514::1,0.0753611111111111,0.37681
"1",de:11000:900194517::1,0.142677777777778,0.7134
"1",de:11000:900194011::1,0.230733333333333,1.15368
"1",de:11000:900194011::2,0.210411111111111,1.05208
"1",de:11000:900194517::2,0.139891666666667,0.69947
"1",de:11000:900194514::2,0.0685166666666667,0.34259
"1",de:11000:900194010::2,0.102130555555556,0.51067
"1",de:11000:900194537::1,0.243772222222222,1.21888
"1",de:11000:900194537::2,0.245327777777778,1.22665
"1",de:11000:900194523::1,0.301988888888889,1.50997
"1",de:11000:900194516::1,0.212236111111111,1.0612
"1",de:11000:900194516::2,0.213997222222222,1.07001
"1",de:11000:900194004::1,0.216294444444444,1.08149
"1",de:11000:900194007::4,0.278469444444444,1.39236
"1",de:11000:900194523::2,0.304269444444444,1.52137
"1",de:11000:900194004::2,0.202155555555556,1.01079
"1",de:11000:900194012::3,0.287141666666667,1.43573
"1",de:11000:900194712::2,0.266502777777778,1.33254
"1",de:11000:900194520::1,0.279947222222222,1.39976
"1",de:11000:900194521::1,0.313927777777778,1.56967
"1",de:11000:900194712::1,0.301658333333333,1.50833
"1",de:11000:900194541::1,0.235316666666667,1.1766
"1",de:11000:900194541::2,0.241336111111111,1.20671
"1",de:11000:900194540::1,0.228958333333333,1.1448
"1",de:11000:900194011::3,0.23215,1.16077
"1",de:11000:900194011::4,0.231586111111111,1.15795
"1",de:11000:900194517::4,0.143558333333333,0.7178
"1",de:11000:900194517::3,0.146866666666667,0.73434
"1",de:11000:900194514::3,0.0719416666666667,0.35972
"1",de:11000:900194514::4,0.0753694444444444,0.37686
"1",de:11000:900194010::3,0.162736111111111,0.81369
"1",de:11000:900194010::4,0.16645,0.83226
"1",de:11000:900194537::3,0.265483333333333,1.32744
"1",de:11000:900194537::4,0.236541666666667,1.18272
"1",de:11000:900193001::2,0.277636111111111,1.3882
"1","000300191002",0.194947222222222,0.97475
"1","000300191003",0.184386111111111,0.92194
"1","000300191004",0.181380555555556,0.90691
"1","000300191005",0.191652777777778,0.95827
"1","000300191006",0.1922,0.96101
"1","000300191007",0.192286111111111,0.96144
"1","000300191008",0.181916666666667,0.90959
"1","000300191009",0.181819444444444,0.90912
"1","000300191012",0.167258333333333,0.83631
"1","000300191015",0.177525,0.88764
"1","000306838020",0.223436111111111,1.1172
"1","000306838023",0.224494444444444,1.1225
"1","000306579020",0.152308333333333,0.76155
"1","000306579021",0.155897222222222,0.7795
"1","000306579022",0.140166666666667,0.70085
"1","000306579023",0.136888888888889,0.68445
"1","000305666020",0.0645555555555556,0.32279
"1","000305666021",0.0685777777777778,0.3429
"1","000305666023",0.0830305555555556,0.41516
"1","000305666024",0.0772944444444444,0.38648
"1","000305743021",0.159922222222222,0.79962
"1","000305743022",0.174061111111111,0.87032
"1","000305743023",0.169152777777778,0.84577
"1","000305743020",0.153025,0.76514
"1","000305962005",0.228608333333333,1.14306
"1","000305962006",0.228330555555556,1.14166
"1","000305962007",0.230463888888889,1.15234
"1","000305962008",0.222466666666667,1.11234
"1",D_de:11000:900193001::1,0.270666666666667,1.35335
"1",D_de:11000:900194514::1,0.0753611111111111,0.37681
"1",D_de:11000:900194514::2,0.0685166666666667,0.34259
"1",D_de:11000:900194010::1,0.100186111111111,0.50095
"1",D_de:11000:900194010::2,0.102130555555556,0.51067
"1",D_de:11000:900194537::1,0.243772222222222,1.21888
"1",D_de:11000:900194537::2,0.245327777777778,1.22665
"1",D_de:11000:900194517::1,0.142677777777778,0.7134
"1",D_de:11000:900194517::2,0.139891666666667,0.69947
"1",D_de:11000:900194011::1,0.230733333333333,1.15368
"1",D_de:11000:900194011::2,0.210411111111111,1.05208
"1",D_de:11000:900193001::2,0.277636111111111,1.3882
